11/23/22 14:58:10 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:10 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:1  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:2  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:4  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:5  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:6  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:9  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:10  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:11  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:17  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:14853  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0x1f91, Seq:12  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:1  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:2  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:4  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:5  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:6  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:9  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:10  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:11  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:17  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0x1f91, Seq:12  
11/23/22 14:58:14 AscTCVerTM Acceptance success, ID:0xff91, Seq:4098  
11/23/22 14:58:14 AscTCVerTM Execution success, ID:0xff91, Seq:4098  
11/23/22 14:58:15 AscTCVerTM Acceptance success, ID:0xff91, Seq:4104  
11/23/22 14:58:15 AscTCVerTM Execution success, ID:0xff91, Seq:4104  
11/23/22 14:58:19 AscTCVerTM Acceptance success, ID:0xff91, Seq:4153  
11/23/22 14:58:19 AscTCVerTM Execution success, ID:0xff91, Seq:4153  
11/23/22 14:58:19 AscTCVerTM Acceptance success, ID:0xff91, Seq:4105  
11/23/22 14:58:19 AscTCVerTM Execution success, ID:0xff91, Seq:4105  
11/23/22 14:58:20 AscTCVerTM Acceptance success, ID:0xff91, Seq:4144  
11/23/22 14:58:20 AscTCVerTM Execution success, ID:0xff91, Seq:4144  
11/23/22 14:58:20 AscTCVerTM Acceptance success, ID:0xff91, Seq:4103  
11/23/22 14:58:20 AscTCVerTM Execution success, ID:0xff91, Seq:4103  
11/23/22 14:58:20 AscTCVerTM Acceptance success, ID:0xff91, Seq:4152  
11/23/22 14:58:20 AscImageTM Offset=     0, Size=2023  
11/23/22 14:58:20 AscImageTM Offset=  2023, Size=2023  
11/23/22 14:58:20 AscImageTM Offset=  4046, Size=2023  
11/23/22 14:58:20 AscImageTM Offset=  6069, Size=2023  
11/23/22 14:58:20 AscImageTM Offset=  8092, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 10115, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 12138, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 14161, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 16184, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 18207, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 20230, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 22253, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 24276, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 26299, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 28322, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 30345, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 32368, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 34391, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 36414, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 38437, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 40460, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 42483, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 44506, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 46529, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 48552, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 50575, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 52598, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 54621, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 56644, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 58667, Size=2023  
11/23/22 14:58:20 AscImageTM Offset= 60690, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 62713, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 64736, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 66759, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 68782, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 70805, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 72828, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 74851, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 76874, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 78897, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 80920, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 82943, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 84966, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 86989, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 89012, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 91035, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 93058, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 95081, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 97104, Size=2023  
11/23/22 14:58:21 AscImageTM Offset= 99127, Size=2023  
